"";"id";"name_market";"code_ticker";"code_symbol";"name_company";"code_isin";"date_lastTrade";"flag_active"
"145";148;"Euronext Growth Milan";"PAG.MI";"PAG";"PORTO AVIATION";"IT0005545238";2023-11-30;TRUE
"146";149;"Euronext Growth Milan";"POR.MI";"POR";"PORTOBELLO";"IT0005337495";2023-12-05;TRUE
"147";150;"Euronext Growth Milan";"PWS.MI";"PWS";"POWERSOFT";"IT0005353815";2023-12-05;TRUE
"148";151;"Euronext Growth Milan";"POZ.MI";"POZ";"POZZI MILANO";"IT0005499949";2023-12-05;TRUE
"149";152;"Euronext Growth Milan";"PFI.MI";"PFI";"PREMIA FINANCE";"IT0005442154";2023-05-15;FALSE
"150";153;"Euronext Growth Milan";"PRM.MI";"PRM";"PRISMI";"IT0004822695";2023-12-05;TRUE
"151";154;"Euronext Growth Milan";"PMT.MI";"PMT";"PROMOTICA";"IT0005425365";2023-12-05;TRUE
"152";155;"Euronext Growth Milan";"RFG.MI";"RFG";"RACING FORCE";"IT0005466963";2023-12-05;TRUE
"153";156;"Euronext Growth Milan";"RAD.MI";"RAD";"RADICI";"IT0005379737";2023-12-05;TRUE
"154";157;"Euronext Growth Milan";"RDF.MI";"RDF";"REDELFI";"IT0005496101";2023-12-05;TRUE
"155";158;"Euronext Growth Milan";"RFLTC.MI";"RFLTC";"REDFISH";"IT0005549354";2023-12-05;TRUE
"156";159;"Euronext Growth Milan";"RLT.MI";"RLT";"RELATECH";"IT0005433740";2023-12-05;TRUE
"157";160;"Euronext Growth Milan";"RNG.MI";"RNG";"RENERGETICA";"IT0005340655";2023-12-05;TRUE
"158";161;"Euronext Growth Milan";"RES.MI";"RES";"RES";"IT0005543613";2023-11-30;TRUE
"159";162;"Euronext Growth Milan";"RETI.MI";"RETI";"RETI";"IT0005418204";2023-12-04;TRUE
"160";163;"Euronext Growth Milan";"RWY.MI";"RWY";"REWAY GROUP";"IT0005528069";2023-12-05;TRUE
"161";164;"Euronext Growth Milan";"RMT.MI";"RMT";"RIBA MUNDO";"ES0105724001";2023-12-01;TRUE
"162";165;"Euronext Growth Milan";"RKT.MI";"RKT";"ROCKET SHARING C";"IT0005481830";2023-12-05;TRUE
"163";166;"Euronext Growth Milan";"YRM.MI";"YRM";"ROSETTI MARINO";"IT0001017851";2023-11-09;TRUE
"164";167;"Euronext Growth Milan";"SIF.MI";"SIF";"S.I.F. ITALIA";"IT0005468290";2023-12-01;TRUE
"165";168;"Euronext Growth Milan";"SAC.MI";"SAC";"SACCHERIA F. FRANC";"IT0005521551";2023-12-05;TRUE
"166";169;"Euronext Growth Milan";"VARV.MI";"VARV";"SBE-VARVIT";"IT0005568461";2023-12-05;TRUE
