Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"FIRST CAPITAL";IT0005252736;FIC;"Euronext Growth Milan";EUR;17.80;17.80;17.80;17.80;"05/12/2023 17:00";CET;464;8259.20;17.80;05/12/2023
FOPE;IT0005203424;FPE;"Euronext Growth Milan";EUR;28.00;28.00;28.00;28.00;"05/12/2023 09:57";CET;500;14000.00;28.00;05/12/2023
FOS;IT0005388217;FOS;"Euronext Growth Milan";EUR;3.40;3.40;3.40;3.40;"05/12/2023 16:10";CET;750;2550.00;3.40;05/12/2023
FRANCHETTI;IT0005508574;FCH;"Euronext Growth Milan";EUR;3.60;3.79;3.60;3.72;"05/12/2023 17:28";CET;15000;55685.00;3.72;05/12/2023
"FRANCHI UMB MARMI";IT0005335754;FUM;"Euronext Growth Milan";EUR;7.04;7.04;7.04;7.04;"05/12/2023 09:13";CET;100;704.00;7.04;05/12/2023
"FRENDY ENERGY";IT0004819857;FRE;"Euronext Growth Milan";EUR;0.21;0.212;0.204;0.212;"05/12/2023 14:37";CET;47520;9789.12;0.212;05/12/2023
FRIULCHEM;IT0005378457;FCM;"Euronext Growth Milan";EUR;1.07;1.07;1.07;1.07;"04/12/2023 14:48";CET;1500;1605.00;1.07;05/12/2023
"G RENT";IT0005445108;GSR;"Euronext Growth Milan";EUR;0.86;0.86;0.86;0.86;"05/12/2023 17:16";CET;500;430.00;0.86;05/12/2023
"G.M. LEATHER";IT0005498610;GML;"Euronext Growth Milan";EUR;1.44;1.44;1.43;1.43;"01/12/2023 12:20";CET;3000;4300.00;1.43;05/12/2023
"GAMBERO ROSSO";IT0005122392;GAMB;"Euronext Growth Milan";EUR;0.432;0.432;0.432;0.432;"05/12/2023 17:14";CET;4000;1728.00;0.432;05/12/2023
GEL;IT0005312365;GEL;"Euronext Growth Milan";EUR;1.475;1.475;1.45;1.45;"05/12/2023 14:03";CET;2500;3653.13;1.45;05/12/2023
"GENTILI MOSCONI";IT0005531261;GM;"Euronext Growth Milan";EUR;3.34;3.39;3.32;3.32;"05/12/2023 17:35";CET;15530;51888.24;3.32;05/12/2023
GIBUS;IT0005341059;GBUS;"Euronext Growth Milan";EUR;10.50;10.50;10.35;10.35;"05/12/2023 16:14";CET;1206;12607.35;10.35;05/12/2023
GIGLIO.COM;IT0005453003;GCOM;"Euronext Growth Milan";EUR;2.20;2.36;2.18;2.18;"05/12/2023 17:19";CET;16400;36800.00;2.18;05/12/2023
"GISMONDI 1754";IT0005391138;GIS;"Euronext Growth Milan";EUR;3.96;3.96;3.96;3.96;"05/12/2023 12:43";CET;800;3168.00;3.96;05/12/2023
"GO INTERNET";IT0005038002;GO;"Euronext Growth Milan";EUR;0.002;0.002;0.0018;0.002;"05/12/2023 17:35";CET;9697500;18173.50;0.002;05/12/2023
"GREEN OLEO";IT0005549768;GRN;"Euronext Growth Milan";EUR;0.958;0.986;0.952;0.966;"05/12/2023 17:10";CET;25500;24606.00;0.966;05/12/2023
GRIFAL;IT0005332595;GRAL;"Euronext Growth Milan";EUR;2.30;2.30;2.30;2.30;"05/12/2023 09:02";CET;500;1150.00;2.30;05/12/2023
GROWENS;IT0005040354;GROW;"Euronext Growth Milan";EUR;6.16;6.26;6.12;6.26;"05/12/2023 17:35";CET;29342;181785.42;6.26;05/12/2023
"GROWENS OPA";IT0005569345;GROOPA;"Euronext Growth Milan";EUR;-;-;-;-;-;CET;-;-;-;-
H-FARM;IT0004674666;FARM;"Euronext Growth Milan";EUR;0.1925;0.198;0.175;0.18;"05/12/2023 17:23";CET;1318500;240455.25;0.18;05/12/2023
"HEALTH ITALIA";IT0005221004;HI;"Euronext Growth Milan";EUR;1.36;1.37;1.34;1.36;"05/12/2023 17:26";CET;6920;9397.78;1.36;05/12/2023
"HIGH QUALITY FOOD";IT0005450694;HQF;"Euronext Growth Milan";EUR;0.69;0.69;0.61;0.61;"05/12/2023 17:35";CET;152250;100893.75;0.61;05/12/2023
HOMIZY;IT0005468662;HZY;"Euronext Growth Milan";EUR;4.40;4.40;4.40;4.40;"07/12/2022 00:00";CET;3000;13200.00;4.40;05/12/2023
I.M.D.;IT0005549255;IMD;"Euronext Growth Milan";EUR;1.80;1.84;1.76;1.76;"01/12/2023 13:08";CET;6000;10788.75;1.76;05/12/2023
IDNTT;CH1118852594;IDNTT;"Euronext Growth Milan";EUR;3.06;3.18;3.02;3.10;"05/12/2023 14:41";CET;13000;40540.00;3.10;05/12/2023
"IERV & LADY BAC E";IT0005380602;IE;"Euronext Growth Milan";EUR;0.886;0.91;0.838;0.89;"05/12/2023 17:35";CET;36132;31723.14;0.89;05/12/2023
ILLA;IT0005536559;ILLA;"Euronext Growth Milan";EUR;0.0004;0.0004;0.0002;0.0004;"05/12/2023 17:17";CET;85609915;19039.83;0.0004;05/12/2023
ILPRA;IT0005359101;ILP;"Euronext Growth Milan";EUR;4.96;5.00;4.96;5.00;"05/12/2023 17:35";CET;1800;8976.00;5.00;05/12/2023
IMPIANTI;IT0005518953;MPT;"Euronext Growth Milan";EUR;0.36;0.36;0.358;0.358;"05/12/2023 15:19";CET;10500;3765.00;0.358;05/12/2023
IMPRENDIROMA;IT0005500571;IMP;"Euronext Growth Milan";EUR;3.50;3.50;3.50;3.50;"05/12/2023 09:38";CET;900;3150.00;3.50;05/12/2023
"IND CHIMICHE FORES";IT0005416281;ICF;"Euronext Growth Milan";EUR;4.52;4.56;4.48;4.56;"05/12/2023 17:24";CET;5901;26587.30;4.54;05/12/2023
"IND STARS  ITALY 4";IT0005447229;IN4;"Euronext Growth Milan";EUR;10.00;10.00;10.00;10.00;"31/07/2023 10:17";CET;1700;17000.00;10.00;05/12/2023
"INIZIAT BRESCIANE";IT0005037905;IB;"Euronext Growth Milan";EUR;14.60;14.60;14.60;14.60;"04/12/2023 10:42";CET;25;365.00;14.60;05/12/2023
INNOVATEC;IT0005412298;INC;"Euronext Growth Milan";EUR;1.307;1.367;1.29;1.32;"05/12/2023 17:35";CET;571100;759609.74;1.32;05/12/2023
"INTER PARTNERS SIM";IT0005460016;INT;"Euronext Growth Milan";EUR;2.45;2.46;2.45;2.46;"05/12/2023 17:06";CET;3054;7492.25;2.46;05/12/2023
"INTERNAT CARE COMP";IT0005469371;ICC;"Euronext Growth Milan";EUR;1.22;1.22;1.20;1.21;"05/12/2023 12:57";CET;4500;5452.50;1.21;05/12/2023
INTRED;IT0005337818;ITD;"Euronext Growth Milan";EUR;9.28;9.80;9.28;9.80;"05/12/2023 17:35";CET;30727;294341.96;9.80;05/12/2023
"ISCC FINTECH";IT0005474108;ISC;"Euronext Growth Milan";EUR;3.46;3.66;3.40;3.40;"05/12/2023 15:16";CET;10079;35527.70;3.40;05/12/2023
"ITALIA INDEPENDENT";IT0004937469;IIG;"Euronext Growth Milan";EUR;0.374;0.376;0.362;0.37;"05/12/2023 15:35";CET;20500;7557.80;0.37;05/12/2023
"ITALIAN WINE BRAND";IT0005075764;IWB;"Euronext Growth Milan";EUR;17.10;17.34;17.10;17.16;"05/12/2023 17:35";CET;1776;30652.00;17.16;05/12/2023
"IVISION TECH";IT0005554784;IVN;"Euronext Growth Milan";EUR;1.08;1.08;0.98;1.02;"05/12/2023 15:38";CET;16500;16659.00;1.02;05/12/2023
JONIX;IT0005442741;JNX;"Euronext Growth Milan";EUR;0.465;0.465;0.465;0.465;"04/12/2023 11:59";CET;600;279.00;0.465;05/12/2023
"LA SIA";IT0005555468;LASIA;"Euronext Growth Milan";EUR;8.45;8.45;8.45;8.45;"28/11/2023 10:12";CET;500;4225.00;-;-
"LAB FARMACEUT ERFO";IT0005497885;ERFO;"Euronext Growth Milan";EUR;0.934;0.942;0.934;0.934;"05/12/2023 15:31";CET;5000;4688.00;0.934;05/12/2023
"LEONE FILM GROUP";IT0004973696;LFG;"Euronext Growth Milan";EUR;1.40;1.40;1.40;1.40;"04/12/2023 14:05";CET;300;420.00;1.40;05/12/2023
LINDBERGH;IT0005469272;LDB;"Euronext Growth Milan";EUR;2.10;2.12;2.10;2.12;"05/12/2023 16:51";CET;2000;4220.00;2.12;05/12/2023
LONGINO&CARDENAL;IT0005337073;LON;"Euronext Growth Milan";EUR;1.97;2.00;1.97;2.00;"04/12/2023 14:45";CET;1500;2975.00;2.00;05/12/2023
"LUCISANO MEDIA G";IT0004522162;LMG;"Euronext Growth Milan";EUR;1.26;1.26;1.23;1.23;"05/12/2023 14:38";CET;4000;4992.00;1.23;05/12/2023
MAGIS;IT0005525347;MGS;"Euronext Growth Milan";EUR;10.10;10.10;10.10;10.10;"04/12/2023 14:01";CET;125;1262.50;10.10;05/12/2023
MAPS;IT0005364333;MAPS;"Euronext Growth Milan";EUR;2.80;3.10;2.80;2.88;"05/12/2023 17:35";CET;51430;151854.14;2.88;05/12/2023
"MARZOCCHI POMPE";IT0004376858;MARP;"Euronext Growth Milan";EUR;4.10;4.10;4.00;4.08;"05/12/2023 17:29";CET;2000;8090.00;4.04;05/12/2023
"MASI AGRICOLA";IT0004125677;MASI;"Euronext Growth Milan";EUR;4.68;4.68;4.68;4.68;"05/12/2023 09:07";CET;20;93.60;4.68;05/12/2023
"MATICA FINTEC";IT0005388449;MFT;"Euronext Growth Milan";EUR;1.60;1.63;1.60;1.60;"05/12/2023 16:14";CET;6300;10107.00;1.60;05/12/2023
MEDICA;IT0005460149;MDC;"Euronext Growth Milan";EUR;15.50;15.60;15.40;15.60;"04/12/2023 16:56";CET;1750;27145.00;15.60;05/12/2023
MEGLIOQUESTO;IT0005450173;MQSPA;"Euronext Growth Milan";EUR;0.497;0.498;0.485;0.485;"05/12/2023 17:04";CET;28800;14275.18;0.485;05/12/2023
MEVIM;IT0004670532;MEV;"Euronext Growth Milan";EUR;0.0178;0.018;0.017;0.0178;"05/12/2023 17:28";CET;982800;17183.60;0.0178;05/12/2023
"MIT SIM";IT0005427510;MTS;"Euronext Growth Milan";EUR;3.56;3.64;3.56;3.64;"01/12/2023 13:14";CET;1000;3584.00;3.64;05/12/2023
"MONDO TV FRANCE";FR0011443266;MTVFR;"Euronext Growth Milan";EUR;0.0104;0.0104;0.0098;0.0102;"05/12/2023 15:40";CET;611000;6154.20;0.0102;05/12/2023
"MONDO TV SUISSE";CH0274177580;MSU;"Euronext Growth Milan";EUR;0.436;0.438;0.424;0.424;"05/12/2023 17:35";CET;19600;8509.60;0.424;05/12/2023
MONNALISA;IT0005338139;MNL;"Euronext Growth Milan";EUR;2.20;2.20;2.20;2.20;"05/12/2023 15:51";CET;10;22.00;2.20;05/12/2023
NEOSPERIENCE;IT0005497018;NSP;"Euronext Growth Milan";EUR;1.72;1.775;1.72;1.74;"05/12/2023 17:05";CET;44000;76790.00;1.74;05/12/2023
NEUROSOFT;GRS802003004;NRST;"Euronext Growth Milan";EUR;0.69;0.705;0.69;0.705;"01/12/2023 12:03";CET;4000;2785.00;0.705;05/12/2023
"NOTORIOUS PICTURES";IT0005025355;NPI;"Euronext Growth Milan";EUR;1.16;1.16;1.16;1.16;"05/12/2023 09:44";CET;800;928.00;1.16;05/12/2023
NUSCO;IT0005453110;NUS;"Euronext Growth Milan";EUR;1.02;1.02;0.99;1.00;"05/12/2023 17:19";CET;24000;24105.00;1.00;05/12/2023
NVP;IT0005390783;NVP;"Euronext Growth Milan";EUR;2.94;2.94;2.94;2.94;"04/12/2023 10:57";CET;1000;2940.00;2.94;05/12/2023
